movie,year,imdb,metascore,votes,certificate,showtime(mins),genre,summary
Pitch Perfect,(2012),7.2,66,247774,PG-13,112,"Comedy, Music, Romance            ","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.            "
The Dictator,(2012),6.4,58,243826,R,83,Comedy            ,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.            
Zero Dark Thirty,(2012),7.4,95,243811,R,157,"Drama, Thriller            ","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.            "
John Carter,(2012),6.6,51,234005,PG-13,132,"Action, Adventure, Sci-Fi            ","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.            "
Dredd,(2012),7.1,60,229636,R,95,"Action, Crime, Sci-Fi            ","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.            "
The Hunt,(2012),8.3,77,229344,R,115,Drama            ,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.            "
Chronicle,(2012),7.1,69,225301,PG-13,84,"Drama, Sci-Fi, Thriller            ",Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.            
Total Recall,(I) (2012),6.3,43,223890,PG-13,118,"Action, Adventure, Mystery            ","A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Recall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.            "
Dark Shadows,(2012),6.2,55,223750,PG-13,113,"Comedy, Fantasy, Horror            ","An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.            "
Lincoln,(2012),7.4,86,223481,PG-13,150,"Biography, Drama, History            ","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.            "
Battleship,(2012),5.8,41,221981,PG-13,131,"Action, Adventure, Sci-Fi            ",A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.            
The Place Beyond the Pines,(2012),7.3,68,220054,R,140,"Crime, Drama, Thriller            ","A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.            "
Seven Psychopaths,(2012),7.2,66,217098,R,110,"Comedy, Crime            ",A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.            
Lawless,(2012),7.3,58,209393,R,116,"Crime, Drama            ","Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.            "
The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,208588,PG-13,115,"Adventure, Drama, Fantasy            ","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.            "
End of Watch,(2012),7.6,68,206617,R,109,"Action, Crime, Drama            ","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.            "
Hotel Transylvania,(2012),7.1,47,197468,PG,91,"Animation, Comedy, Family            ","Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.            "
Sinister,(I) (2012),6.8,53,191733,R,110,"Horror, Mystery, Thriller            ",Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.            
American Reunion,(2012),6.7,49,188365,R,113,Comedy            ,"Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion.            "
Safe House,(III),6.8,52,187305,R,115,"Action, Adventure, Crime            ","A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.            "
Project X,(2012),6.7,48,174011,R,88,Comedy            ,"3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.            "
The Wolf of Wall Street,(2013),8.2,75,986755,R,180,"Biography, Comedy, Crime            ","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.            "
Gravity,(2013),7.7,96,682525,PG-13,91,"Drama, Sci-Fi, Thriller            ",Two astronauts work together to survive after an accident which leaves them stranded in space.            
Iron Man 3,(2013),7.2,62,655751,PG-13,130,"Action, Adventure, Sci-Fi            ","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.            "
Man of Steel,(2013),7.1,55,627090,PG-13,143,"Action, Adventure, Fantasy            ","Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.            "
The Hunger Games: Catching Fire,(2013),7.5,76,561280,PG-13,146,"Action, Adventure, Mystery            ",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.            
12 Years a Slave,(2013),8.1,96,555265,R,134,"Biography, Drama, History            ","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.            "
The Hobbit: The Desolation of Smaug,(2013),7.8,66,551592,PG-13,161,"Adventure, Fantasy            ","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.            "
World War Z,(2013),7.0,63,536916,PG-13,116,"Action, Adventure, Horror            ","Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.            "
Now You See Me,(I) (2013),7.3,50,536063,PG-13,115,"Crime, Mystery, Thriller            ","An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.            "
Thor: The Dark World,(2013),7.0,54,507434,PG-13,112,"Action, Adventure, Fantasy            ","When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.            "
Prisoners,(2013),8.1,74,503459,R,153,"Crime, Drama, Mystery            ","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.            "
Frozen,(I) (2013),7.5,74,497277,PG,102,"Animation, Adventure, Comedy            ","When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.            "
Her,(2013),8.0,90,445266,R,126,"Drama, Romance, Sci-Fi            ","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.            "
Oblivion,(I) (2013),7.0,54,441082,PG-13,124,"Action, Adventure, Mystery            ",A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.            
